序号,章节,方剂名,QA状态,QA问题,PDF页码,书内索引页码,缺失字段,定位标题,定位方法,原文片段文件
1,第1章 解表剂,桂枝汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.78,P.27,,桂枝汤,索引页码定位,D1_formula_snippets\001_桂枝汤.txt
2,第1章 解表剂,麻黄汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.73,P.23,,麻黄汤,索引页码定位,D1_formula_snippets\002_麻黄汤.txt
3,第1章 解表剂,九味羌活汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.81,P.29,,九味羌活汤,索引页码定位,D1_formula_snippets\003_九味羌活汤.txt
4,第1章 解表剂,香苏散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.83,P.30,,香苏散,索引页码定位,D1_formula_snippets\004_香苏散.txt
5,第1章 解表剂,小青龙汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.85,P.31,,小青龙汤,索引页码定位,D1_formula_snippets\005_小青龙汤.txt
6,第1章 解表剂,止嗽散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.87,P.33,,止嗽散,索引页码定位,D1_formula_snippets\006_止嗽散.txt
7,第1章 解表剂,银翘散,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.90,P.34,,银翘散,全文标题定位,D1_formula_snippets\007_银翘散.txt
8,第1章 解表剂,桑菊饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.92,P.35,,桑菊饮,全文标题定位,D1_formula_snippets\008_桑菊饮.txt
9,第1章 解表剂,败毒散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.101,P.41,,败毒散（原名人参败毒散）,全文标题定位,D1_formula_snippets\009_败毒散.txt
10,第1章 解表剂,参苏饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.102,P.42,,参苏饮,全文标题定位,D1_formula_snippets\010_参苏饮.txt
11,第1章 解表剂,葛根汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.78,,,葛根汤,附方段落定位,D1_formula_snippets\011_葛根汤.txt
12,第1章 解表剂,大青龙汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.76,P.25,,大青龙汤,索引页码定位,D1_formula_snippets\012_大青龙汤.txt
13,第2章 泻下剂,大承气汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.111,P.47,,大承气汤,全文标题定位,D1_formula_snippets\013_大承气汤.txt
14,第2章 泻下剂,小承气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.111,P.48,,小承气汤,附方段落定位,D1_formula_snippets\014_小承气汤.txt
15,第2章 泻下剂,调胃承气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.111,P.48,,调胃承气汤,附方段落定位,D1_formula_snippets\015_调胃承气汤.txt
16,第2章 泻下剂,温脾汤,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,P.118,P.51；P.52,,温脾汤,全文标题定位,D1_formula_snippets\016_温脾汤.txt
17,第2章 泻下剂,十枣汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.127,P.56,,十枣汤,全文标题定位,D1_formula_snippets\017_十枣汤.txt
18,第3章 和解剂,小柴胡汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.136,P.62,,小柴胡汤,全文标题定位,D1_formula_snippets\018_小柴胡汤.txt
19,第3章 和解剂,大柴胡汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.226,P.117,,大柴胡汤,全文标题定位,D1_formula_snippets\019_大柴胡汤.txt
20,第3章 和解剂,蒿芩清胆汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.138,P.64,,蒿芩清胆汤,全文标题定位,D1_formula_snippets\020_蒿芩清胆汤.txt
21,第3章 和解剂,四逆散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.142,P.66,,四逆散,全文标题定位,D1_formula_snippets\021_四逆散.txt
22,第3章 和解剂,逍遥散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.143,P.67,,逍遥散,全文标题定位,D1_formula_snippets\022_逍遥散.txt
23,第3章 和解剂,半夏泻心汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.148,P.69,,半夏泻心汤,全文标题定位,D1_formula_snippets\023_半夏泻心汤.txt
24,第4章 清热剂,白虎汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.152,P.72,,白虎汤,全文标题定位,D1_formula_snippets\024_白虎汤.txt
25,第4章 清热剂,竹叶石膏汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.154,P.74,,竹叶石膏汤,全文标题定位,D1_formula_snippets\025_竹叶石膏汤.txt
26,第4章 清热剂,清营汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.157,P.75,,清营汤,全文标题定位,D1_formula_snippets\026_清营汤.txt
27,第4章 清热剂,犀角地黄汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.158,P.76,,犀角地黄汤,全文标题定位,D1_formula_snippets\027_犀角地黄汤.txt
28,第4章 清热剂,黄连解毒汤,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,P.161,P.77,,黄连解毒汤,全文标题定位,D1_formula_snippets\028_黄连解毒汤.txt
29,第4章 清热剂,龙胆泻肝汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.172,P.83,,龙胆泻肝汤,全文标题定位,D1_formula_snippets\029_龙胆泻肝汤.txt
30,第4章 清热剂,清胃散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.177,P.87,,清胃散,全文标题定位,D1_formula_snippets\030_清胃散.txt
31,第4章 清热剂,玉女煎,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.179,P.88,,玉女煎,全文标题定位,D1_formula_snippets\031_玉女煎.txt
32,第4章 清热剂,芍药汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.180,P.89,,芍药汤,全文标题定位,D1_formula_snippets\032_芍药汤.txt
33,第4章 清热剂,白头翁汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.182,P.90,,白头翁汤,全文标题定位,D1_formula_snippets\033_白头翁汤.txt
34,第4章 清热剂,青蒿鳖甲汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.185,P.91,,青蒿鳖甲汤,全文标题定位,D1_formula_snippets\034_青蒿鳖甲汤.txt
35,第4章 清热剂,清骨散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.186,P.92,,清骨散,全文标题定位,D1_formula_snippets\035_清骨散.txt
36,第5章 祛暑剂,香薷散,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.192,P.96,,香薷散,全文标题定位,D1_formula_snippets\036_香薷散.txt
37,第5章 祛暑剂,新加香薷饮,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.191,P.97,,新加香薷饮,附方段落定位,D1_formula_snippets\037_新加香薷饮.txt
38,第5章 祛暑剂,清暑益气汤,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,P.198,P.100,,清暑益气汤,全文标题定位,D1_formula_snippets\038_清暑益气汤.txt
