序号,优先级,大类,场景,关键药,QA状态,QA问题,来源
1,P0,心脏骤停/心律失常,心脏骤停,肾上腺素,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》成人心脏骤停流程/Highlights Figure 4；肾上腺素1mg每3–5分钟；需原PDF页码二核
2,P0,心脏骤停/心律失常,室颤/无脉室速,胺碘酮,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》成人心脏骤停流程/Highlights Figure 4；胺碘酮300mg/150mg或利多卡因剂量；需原PDF页码二核
3,P0,心脏骤停/心律失常,持续室速（有脉）,利多卡因,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》心动过速/心脏骤停流程；利多卡因剂量需原PDF页码二核
4,P0,心脏骤停/心律失常,心动过缓,阿托品,版本冲突待确认,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。,《2020 American Heart Association Guidelines for CPR and ECC》成人心动过缓流程；注意：用户清单写0.5mg，2020 AHA成人流程为1mg，需确定采用版本后入训
5,P0,心脏骤停/心律失常,房颤复律,胺碘酮/普罗帕酮,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,房颤诊疗指南/药品说明书；待核
6,P0,心脏骤停/心律失常,高血压急症,拉贝洛尔/乌拉地尔/硝普钠,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,中国高血压急症相关共识/药品说明书；待核
7,P0,休克,过敏性休克,肾上腺素,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。,World Allergy Organization Anaphylaxis Guidance 2020；肾上腺素肌内0.01mg/kg，成人最大0.5mg，可5–15分钟重复；需原文页码二核
8,P0,休克,感染性休克,晶体液/抗菌药/去甲肾上腺素,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,拯救脓毒症运动指南/中国脓毒症指南；需PDF页码二核
9,P0,休克,心源性休克,多巴酚丁胺/多巴胺/去甲肾上腺素,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,急性心力衰竭/心源性休克共识；待核
10,P0,休克,失血性休克,平衡晶体液/血制品/氨甲环酸,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,创伤失血性休克/大量输血指南；待核
11,P0,神经急症,急性缺血性脑卒中溶栓,阿替普酶,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,急性缺血性脑卒中静脉溶栓指南/阿替普酶说明书；需PDF页码二核
12,P0,神经急症,蛛网膜下腔出血,尼莫地平,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,蛛网膜下腔出血指南/尼莫地平说明书；待核
13,P0,神经急症,癫痫持续状态,地西泮/劳拉西泮,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,癫痫持续状态诊疗指南/药品说明书；待核
14,P0,神经急症,脑水肿,甘露醇,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,颅内压增高/神经重症指南；待核
15,P0,内科急症,糖尿病酮症酸中毒,0.9%氯化钠/胰岛素,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。,ADA/Diabetes Care 高血糖危象指南及综述；0.9%氯化钠15–20ml/kg第1小时、胰岛素0.1U/kg/h；需原文页码二核
