序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览
1,第1章 解表剂,桂枝汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
2,第1章 解表剂,麻黄汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
3,第1章 解表剂,九味羌活汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,九味羌活丸,中华人民共和国药典：2020年版．一部 P.550 entryId=734,【处方】羌活150g防风150g苍术150g细辛50g川芎100g白芷100g黄芩100g甘草100g地黄100g【制法】以上九味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得。
4,第1章 解表剂,香苏散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1424神香苏合丸…1424除湿白带丸…1425十画　珠蚕都荷桂桔根速唇夏热柴致逍蚝钻铁积射健脂脏脑狼疳益烧宽凉消润烫诺调通桑珠黄吹喉散…1426珠黄散…1426蚕蛾公补片…1427都梁丸…1428都梁软胶囊
5,第1章 解表剂,小青龙汤,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典未命中,,,
6,第1章 解表剂,止嗽散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,未在前次药典P0覆盖表中,,,
7,第1章 解表剂,银翘散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,银翘散,中华人民共和国药典：2020年版．一部 P.1676 entryId=1975,【处方】金银花100g连翘100g桔梗60g薄荷60g淡豆豉50g淡竹叶40g牛蒡子60g荆芥40g芦根100g甘草40g【制法】以上十味，粉碎成细粉，过筛，混匀，即得。【性状】本品为棕黄色的粉末；气特异，味微甘而凉。【鉴别】（1）取本品，置显微镜下观察：花粉粒类球形，直径约至76μm，外壁有刺状雕纹，具三个萌发孔（金银花）。内果皮纤维上下层纵横交错，纤维短梭形（连翘）。联结乳管直径14～25μm，含淡黄色细颗粒状物（桔梗）。非腺毛，多碎断，完整者1～8细胞，常弯曲，直径10～43μm，壁厚，微具疣状突起（薄荷）。
8,第1章 解表剂,桑菊饮,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,桑菊感冒片,中华人民共和国药典：2020年版．一部 P.1634 entryId=1931,【处方】桑叶465g菊花185g连翘280g薄荷素油1ml苦杏仁370g桔梗370g甘草150g芦根370g【制法】以上八味，除薄荷素油外，桔梗粉碎成细粉；连翘提取挥发油；药渣与其余桑叶等五味加水煎煮二次（苦杏仁压榨去油后，在水沸时加入），每次2小时，合并煎液，滤过，滤液浓缩成稠膏，加入桔梗细粉及适量辅料，混匀，制成颗粒，干燥，放冷，喷加薄荷素油和连翘挥发油，混匀，压制成1000片，或包糖衣或薄膜衣，即得。【性状】本品为浅棕色至棕褐色的片；或为糖衣片或薄膜衣片，除去包衣后显浅棕色至棕褐色；气微香，味微苦。【鉴别】（
9,第1章 解表剂,败毒散,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典精确命中,败毒散,中华人民共和国药典：2020年版．一部 P.1193 entryId=1447,【功能与主治】发汗解表，散风祛湿。用于外感热病，憎寒壮热，项强头痛，四肢酸痛，噤口痢疾，无汗鼻塞，咳嗽有痰。【用法与用量】另加生姜、薄荷少许炖，取汤服。一次6～9g，一日1～2次。
10,第1章 解表剂,参苏饮,,,,,,,,,,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）,待教材PDF/原书核验,本机未找到授权教材PDF；不能伪造页码和原文剂量,官方药典有候选命中,本版药典（一部）新增品种名单,中华人民共和国药典：2020年版．一部 P.18 entryId=2275,老年咳喘片再造生血胶囊西汉养生口服液（滋肾健脑液）血栓通胶囊血滞通胶囊血塞通片血塞通胶囊血塞通颗粒壮腰健身丸安胎丸安脑片妇宁栓妇科止带胶囊妇科养荣丸妇康宝口服液（妇康宝合剂）芩暴红止咳分散片芪风固表颗粒芪明颗粒芪参益气滴丸芪珍胶囊芪黄通秘软胶囊芪蛭降糖片苏黄止咳胶囊杏苏止咳口服液杞菊地黄口服液连参通淋片补肾益精丸补虚通瘀颗粒坤宁口服液坤泰胶囊苦甘颗粒苦参软膏固肠止泻胶囊和血明目片和胃止泻胶囊金嗓开音颗粒金嗓清音胶囊金蝉止痒胶囊乳块消颗粒乳康颗粒参芪五味子颗粒参芪降糖片参芪降糖胶囊厚朴排气合剂胃疡宁丸复方双花口服液复
