序号,优先级,大类,场景,关键药,首选剂量,儿童剂量,浓度规格,重复频率,后续处理,不可做,来源,QA状态,QA问题
1,P0,心脏骤停/心律失常,心脏骤停,肾上腺素,成人1mg静脉或骨内给药，每3～5分钟重复一次。,儿童心肺复苏常用0.01mg/kg静脉或骨内给药，每3～5分钟重复一次；需按儿童高级生命支持指南复核。,常用复苏给药为0.1mg/ml（1:10000）或按机构预充注射器规格；需本院流程复核。,每3～5分钟可重复。,高质量胸外按压、尽早除颤、气道和通气管理、寻找并处理可逆病因。,不得因给药中断胸外按压；肾上腺素不能替代除颤和高质量心肺复苏。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》成人心脏骤停流程/Highlights Figure 4；肾上腺素1mg每3–5分钟；需原PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
2,P0,心脏骤停/心律失常,室颤/无脉室速,胺碘酮,除颤无效的室颤/无脉室速：胺碘酮首次300mg静脉或骨内推注，第二次150mg。,儿童可按5mg/kg静脉或骨内给药；需儿童高级生命支持指南复核。,常见150mg/3ml；用药前按说明书和抢救流程稀释/给药。,成人首次300mg，必要时第二次150mg。,继续心肺复苏和除颤，纠正低氧、低钾/高钾、酸中毒等可逆病因。,不可延误除颤；抗心律失常药不替代除颤。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》成人心脏骤停流程/Highlights Figure 4；胺碘酮300mg/150mg或利多卡因剂量；需原PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
3,P0,心脏骤停/心律失常,持续室速（有脉）,利多卡因,可用利多卡因1～1.5mg/kg静脉给药；后续剂量和维持泵入需按心律失常指南/说明书复核。,儿童剂量需按儿童高级生命支持或药品说明书复核。,常见2%利多卡因注射液；具体规格以本院供应为准。,需按心律失常流程和血流动力学状态决定。,评估血流动力学；不稳定者同步电复律；连续心电监护。,血流动力学不稳定时不要因等待药物延误电复律。,《2020 American Heart Association Guidelines for CPR and ECC：Adult Basic and Advanced Life Support》心动过速/心脏骤停流程；利多卡因剂量需原PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
4,P0,心脏骤停/心律失常,心动过缓,阿托品,成人阿托品1mg静脉给药，每3～5分钟重复；最大总量3mg。,儿童需按儿童高级生命支持指南复核。,常见0.5mg/ml或1mg/ml注射液；以本院供应为准。,每3～5分钟重复，成人最大总量3mg。,无效时经皮起搏，或多巴胺/肾上腺素输注，处理可逆病因。,高度房室传导阻滞或移植心脏患者不应单纯依赖阿托品。,《2020 American Heart Association Guidelines for CPR and ECC》成人心动过缓流程；注意：用户清单写0.5mg，2020 AHA成人流程为1mg，需确定采用版本后入训,版本冲突待确认,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
5,P0,心脏骤停/心律失常,房颤复律,胺碘酮/普罗帕酮,药物复律剂量随病情、结构性心脏病、用药禁忌而异；不可在未核指南前固定入训。,不适用；儿童需专科指南。,按具体药品说明书。,按房颤指南和药品说明书。,评估血流动力学、卒中风险、抗凝指征；不稳定者同步电复律。,不稳定房颤不应因药物复律延误同步电复律；未评估抗凝风险不宜盲目复律。,房颤诊疗指南/药品说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
6,P0,心脏骤停/心律失常,高血压急症,拉贝洛尔/乌拉地尔/硝普钠,需按具体场景选择降压药；硝普钠常需微量泵严密监测，拉贝洛尔/乌拉地尔剂量需按说明书与指南复核。,儿童高血压急症需专科指南。,按具体药品规格。,按血压目标和药品说明书滴定。,连续血压监测，避免降压过快；明确靶器官损害。,多数高血压急症首小时平均动脉压不宜下降过快；主动脉夹层等特殊情形除外。,中国高血压急症相关共识/药品说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
7,P0,休克,过敏性休克,肾上腺素,成人大腿中外侧肌内注射0.3～0.5mg。,0.01mg/kg肌内注射，通常单次最大0.5mg；需按具体指南复核。,1mg/ml（1:1000）肌内注射。,每5～15分钟可重复，视症状和血流动力学反应。,平卧、吸氧、快速补液、支气管痉挛处理、监护；抗组胺药和糖皮质激素为辅助。,抗组胺药或糖皮质激素不能替代肾上腺素；不要首选皮下注射。,World Allergy Organization Anaphylaxis Guidance 2020；肾上腺素肌内0.01mg/kg，成人最大0.5mg，可5–15分钟重复；需原文页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训；已补充可检索来源名称，仍需人工核对原PDF页码/版本。
8,P0,休克,感染性休克,晶体液/抗菌药/去甲肾上腺素,初始复苏常用晶体液30ml/kg；尽早使用广谱抗菌药；液体后仍低血压首选去甲肾上腺素维持平均动脉压目标。,儿童感染性休克按儿童脓毒症指南复核。,按具体药品和输注泵配置。,动态评估容量反应性、乳酸和灌注。,1小时集束化处理：乳酸、血培养、抗菌药、补液、血管活性药。,不要因等待培养延误抗菌药；不应盲目无限制补液。,拯救脓毒症运动指南/中国脓毒症指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
9,P0,休克,心源性休克,多巴酚丁胺/多巴胺/去甲肾上腺素,血管活性药和正性肌力药需根据血压、心排量和病因滴定；不宜无源固定剂量入训。,儿童需专科指南。,按具体药品说明书和泵入方案。,连续血流动力学监测下滴定。,处理急性冠脉综合征、心律失常、机械并发症；必要时机械循环支持。,不要大量盲目补液加重肺水肿。,急性心力衰竭/心源性休克共识；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
10,P0,休克,失血性休克,平衡晶体液/血制品/氨甲环酸,控制出血和损伤控制复苏优先；血制品比例和氨甲环酸剂量需按创伤指南复核。,儿童创伤复苏需专科指南。,按血制品和药品说明书。,按出血控制和凝血监测。,止血、输血、纠正凝血障碍、保温、监测乳酸/碱缺失。,不要单纯大量晶体液稀释凝血因子。,创伤失血性休克/大量输血指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
